system:index,date,latitude,longitude,modis_fire,.geo
2025_03_20,2025-03-20,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_21,2025-03-21,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_22,2025-03-22,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_23,2025-03-23,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_24,2025-03-24,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_25,2025-03-25,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_26,2025-03-26,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_27,2025-03-27,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_28,2025-03-28,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_29,2025-03-29,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_30,2025-03-30,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
2025_03_31,2025-03-31,26.602075036272865,75.98641929246355,5.0,"{""type"":""MultiPoint"",""coordinates"":[]}"
